StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q6,Attention Check 1,Attention Check 2,bloy_instrumental,lorst_instrumental,fraw_instrumental,norl_instrumental,terb_instrumental,yerk_instrumental,jom_instrumental,simon_instrumental,bloy_white,lorst_white,fraw_white,norl_white,terb_white,yerk_white,jom_white,simon_white,bloy_silence,lorst_silence,fraw_silence,norl_silence,terb_silence,yerk_silence,jom_silence,simon_silence,bloy_mtb5,lorst_mtb5,fraw_mtb5,norl_mtb5,terb_mtb5,yerk_mtb5,jom_mtb5,simon_mtb5,bloy_binary,bloy_sim,lorst_binary,lorst_sim,Q223,fraw_sim,norl_binary,norl_sim,terb_binary,terb_sim,yerk_binary,yerk_sim,jom_binary,jom_sim,simon_binary,simon_sim,Reflection,Age,Gender,Race,Language_1,PROLIFIC_PID
2022-10-12 15:33:25,2022-10-12 15:46:08,0,142.196.113.147,100,763,1,2022-10-12 15:46:09,R_32WN9xXcvKzGL26,,,,,28.7935,-81.2868,anonymous,EN,56f2a06ced0cf6000b9109fd,1,1,1,3,4,2,3,4,3,3,2,3,4,2,3,4,3,3,2,4,4,3,3,6,4,2,2,2,5,3,3,5,2,3,2,2,,2,,1,Reading aloud,1,"Remembering ",1,"Whispering ",2,,1,Ballet,1,Simon says game,"Noise distractions that are irrelevant ",68,2,3,100,
2022-10-12 15:37:19,2022-10-12 15:46:12,0,136.36.3.85,100,533,1,2022-10-12 15:46:13,R_2AGM96EPHyM0aee,,,,,40.2329,-111.6688,anonymous,EN,6111556d27f136bb7db6667d,1,1,1,7,5,1,4,7,7,7,6,4,2,1,3,7,2,5,4,7,7,7,7,5,7,7,7,3,6,1,3,5,5,2,3,2,,2,,1,Frolicking,2,,2,,2,,1,jumping,1,"summoning ","How words sounds, what their meaning is, and how we associate different sounds to them",23,2,3,100,
2022-10-12 15:35:44,2022-10-12 15:46:21,0,108.236.252.159,100,636,1,2022-10-12 15:46:22,R_8CTNF5fdQ8J16lb,,,,,31.7703,-106.3006,anonymous,EN,5a9cc3cb1eda4100013675d0,1,1,1,6,7,4,7,2,7,7,2,7,5,2,3,6,7,7,2,5,6,7,6,6,7,7,7,2,7,1,2,5,6,5,2,2,,2,,2,,2,,2,,2,,2,,2,,"I am not sure to be honest. Either how people react to the sounds coming out of two of the rooms and how much it would disturb them during activity's or maybe how people react to the funny words used for different activities  ",40,2,3,100,
2022-10-12 15:39:52,2022-10-12 15:47:04,0,173.56.40.215,100,431,1,2022-10-12 15:47:04,R_3nNK9AJWV1RfI9v,,,,,40.7359,-73.9904,anonymous,EN,60120c8c6e367f23631ee600,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,5,7,1,1,1,1,7,1,1,1,1,1,1,1,Bouncing,2,,2,,2,,2,,2,,2,,2,,Word association and how our imaginations perceive unknown sounds.,20,2,4,100,
2022-10-12 15:35:12,2022-10-12 15:47:14,0,50.91.198.14,100,721,1,2022-10-12 15:47:14,R_25EpunHe75T5va8,,,,,35.7768,-119.2414,anonymous,EN,610b106e804a9d189f4a0ba0,1,1,1,7,4,1,3,5,7,7,1,7,1,2,1,3,4,2,1,7,7,7,7,6,7,7,2,5,5,2,1,2,7,7,1,1,"sewing ",2,,2,,2,,2,,1,"twerking ",2,,2,,"I'm not sure; maybe how people feel about completing different activities depending on the type of sounds/sound level they are exposed to ",24,2,4,85,
2022-10-12 15:35:46,2022-10-12 15:47:21,0,172.58.147.6,100,695,1,2022-10-12 15:47:22,R_2qaDJUBBeMasC4p,,,,,38.2168,-85.7616,anonymous,EN,614ff8d832b3a0293961cb59,1,1,1,6,1,5,1,4,7,5,2,6,3,7,6,6,7,7,7,6,4,7,7,3,7,7,7,1,1,1,1,6,5,1,1,1,What's behind the door,1,bedtime story,1,rethinking where you put it,1,secret sharing,1,dessert before dinner,1,tip toeing,1,playing simon says,1,what's behind the door,no clue but part of it was extremely confusing,58,2,3,100,
2022-10-12 15:40:48,2022-10-12 15:47:28,0,134.53.120.177,100,400,1,2022-10-12 15:47:29,R_3HtaO3B6oH8v5CG,,,,,39.5107,-84.7427,anonymous,EN,610bffafc6f5c63a9ff42934,1,1,1,7,6,2,5,3,7,6,6,7,5,4,2,1,2,5,3,7,7,7,7,1,5,7,7,7,5,1,2,7,6,6,1,1,Bouncing,2,,1,Drawing,2,,2,,2,,2,,2,,It was about how sound effect peoples abilities to do things.,20,2,3,100,
2022-10-12 15:36:15,2022-10-12 15:47:33,0,184.88.165.99,100,678,1,2022-10-12 15:47:34,R_2BmPpPz15qu0X6c,,,,,28.9811,-80.9114,anonymous,EN,615df4a8253f3bfee4097f9e,1,1,1,5,4,4,5,5,4,5,3,5,4,5,4,5,4,3,3,4,5,5,5,3,5,5,7,2,5,2,1,5,3,2,2,2,,2,,2,,2,,2,,2,,1,jumping,1,simon says,"I haven't a clue. ",50,1,3,100,
2022-10-12 15:36:28,2022-10-12 15:47:34,0,99.61.193.66,100,665,1,2022-10-12 15:47:35,R_wSGAGNOL9crl9cJ,,,,,41.5344,-81.5319,anonymous,EN,5f2736722eb8e2518d269b3f,1,1,1,4,3,1,1,5,6,7,2,1,3,1,3,5,3,1,2,7,7,7,7,3,7,7,5,1,6,1,1,4,6,1,1,1,Dribbling,2,,1,Bed time story,1,Thinking,1,whisper,2,,1,Ballet,1,Simon says,Ability to focus on certain tasks while additional things are going on around you,31,2,1,100,
2022-10-12 15:40:29,2022-10-12 15:49:09,0,172.101.56.243,100,520,1,2022-10-12 15:49:10,R_UlrCqMFevzMrxuN,,,,,44.5542,-69.6179,anonymous,EN,5f1c2ebf1d8b7c48ad3ec3db,1,1,1,6,2,1,3,2,3,7,1,1,1,1,5,3,2,5,1,6,6,6,1,6,4,6,4,3,7,1,2,4,2,5,1,2,,2,,2,,2,,2,,2,,2,,1,whats behind the closed door?,"to see how people percieve whats could be going on behind closed doors,",55,2,3,100,
2022-10-12 15:37:14,2022-10-12 15:49:13,0,74.194.149.250,100,719,1,2022-10-12 15:49:13,R_TjGxqPO8YigqzJv,,,,,30.3217,-95.5285,anonymous,EN,5ce7b20479642d00197682ea,1,1,1,7,6,3,4,6,7,7,3,7,6,3,5,7,7,7,5,7,7,7,7,2,7,7,7,7,7,1,2,6,6,7,2,2,,2,,1,relaxing in bed,2,,2,,2,,2,,2,,It's seeing how people would take actions with different background noises.,46,2,3,100,
2022-10-12 15:38:38,2022-10-12 15:51:08,0,75.90.0.23,100,749,1,2022-10-12 15:51:08,R_3JEJqYNgvv7EJ87,,,,,34.7828,-84.9332,anonymous,EN,6157c19fb6a876658eba2229,1,1,1,5,4,2,5,5,5,5,3,4,4,2,3,2,3,3,3,3,4,4,5,3,5,3,5,5,4,2,1,1,4,4,1,2,,2,,2,,2,,2,,2,,1,Counting sheep,1,Dreaming,not a clue,50,1,3,100,
2022-10-12 15:41:52,2022-10-12 15:51:18,0,68.49.227.187,100,565,1,2022-10-12 15:51:18,R_ROd4y98ECpUYIjT,,,,,42.6969,-84.5464,anonymous,EN,5df1822669a11709f1421d2e,1,1,1,2,2,2,2,2,7,5,2,2,1,2,2,1,7,4,1,6,7,7,6,7,7,5,7,1,1,1,1,1,5,4,1,2,,1,conversing with my spouse,1,any activity that clears the mind before sleeping,1,"totally normal, now what was i thinking of before i started this activity?",1,whispering,1,upside backwards day,1,jump rope,1,simon says red light green light combined,interpretation of unusual terms,64,2,3,100,
2022-10-12 15:39:56,2022-10-12 15:52:24,0,72.239.73.150,100,748,1,2022-10-12 15:52:24,R_5mrx6sggTsnWQs9,,,,,28.6623,-81.4136,anonymous,EN,5f026263945c554052bf7379,1,1,1,6,3,1,2,5,2,5,1,4,2,2,1,1,3,7,2,6,5,3,2,3,2,5,1,4,6,1,1,1,3,5,1,2,,2,,1,drawing,2,,2,,2,,2,,2,,the affect of sound on our perceptions of how well we'd be able to do certain tasks,22,1,2,95,
2022-10-12 15:40:29,2022-10-12 15:54:00,0,73.210.181.129,100,810,1,2022-10-12 15:54:01,R_3n7V3GURf1Smj9e,,,,,41.8388,-87.7891,anonymous,EN,60fcdb6cf1d45f7a16312fc7,1,1,1,4,4,2,2,3,4,5,2,3,4,6,6,6,3,4,1,1,3,2,6,6,2,2,1,4,6,1,1,6,3,5,1,2,,1,arguing,2,,2,,1,whispering,2,,2,,2,,not sure,26,2,1,100,
2022-10-12 15:39:30,2022-10-12 15:57:29,0,98.34.183.233,100,1078,1,2022-10-12 15:57:29,R_xarWDtS457c8gyB,,,,,29.943,-95.2596,anonymous,EN,6318cf36c73cd107665cb9fd,1,1,1,7,7,7,1,7,7,7,7,7,1,1,7,1,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,1,1,2,,2,,1,BEDTIME STORY TIME,2,,1,"SAY A SECRET TO SOMEONE, THAT PERSON PASSES ALONG TO SEE IF THE STOR REMAINS THE SAME UNTIL IT REACHES THE ORIGINAL MESSAGESENDER",2,,2,,1,SIMON SAYS,HOW NOISE IN A ROOM CAN AFFECT BEHAVIOUR,51,1,1,100,
2022-10-12 15:30:25,2022-10-12 15:59:48,0,73.3.123.152,100,1762,1,2022-10-12 15:59:48,R_DjYGJxGOvbTixUJ,,,,,41.1919,-111.9474,anonymous,EN,5f29d9582a2fc9166092ebe5,1,1,1,6,7,7,7,7,6,6,7,7,5,4,5,3,6,7,4,5,7,7,6,7,5,5,7,6,3,2,4,1,7,6,2,1,Dribbling (as in basketball),1,lusting,1,fawning,1,noting,2,,1,jerking,1,jumping,1,silencing,"I have no idea, really",41,2,3,100,
2022-10-12 15:40:38,2022-10-12 16:01:15,0,98.202.198.108,100,1237,1,2022-10-12 16:01:16,R_26gVIO2dSCxAIMX,,,,,40.5452,-112.2973,anonymous,EN,6266c28541d6a93ad25e555d,1,1,1,7,4,1,5,2,7,7,2,7,6,5,7,7,7,7,7,7,6,7,7,7,7,7,7,4,1,1,1,1,1,4,1,2,,2,,2,,1,terbing,2,,2,,2,,2,,"Influence of sound and the effects it has on concentration, that and the power of suggestion.",49,1,3,100,
2022-10-12 16:28:05,2022-10-12 16:35:40,0,99.35.42.15,100,455,1,2022-10-12 16:35:41,R_1Kfm9AT7rvohoqi,,,,,33.8513,-84.287,anonymous,EN,578e6c599bd3d70001e5057f,1,1,1,6,5,4,5,5,5,4,5,7,7,6,6,6,5,4,6,6,6,7,6,7,5,4,6,6,6,1,2,3,5,1,2,2,,2,,2,,2,,2,,2,,2,,1,Simon Says,seeing how different noises/noise levels affect how we feel about an environment,26,1,2,100,
2022-10-12 15:40:54,2022-10-12 16:43:13,0,99.108.230.55,100,3739,1,2022-10-12 16:43:14,R_12Eyunb3D2vbF4s,,,,,39.9573,-86.277,anonymous,EN,55b45ce8fdf99b615b12d64b,1,1,1,4,6,2,3,2,4,4,1,4,3,2,3,2,4,4,2,4,4,2,5,6,2,4,1,4,7,1,2,2,3,4,1,2,,2,,1,drawing,2,,2,,2,,2,,2,,Evaluating how people feel they can do activities in different evironments,39,1,3,100,
